tconst,title,primaryTitle,originalTitle,startYear,runtimeMinutes,genre1,genre2,primaryName
tt0094721,Beetlejuice,Beetlejuice,Beetle Juice,1988.0,92,Comedy,Fantasy,Tim Burton
tt0094721,The Maitlands,Beetlejuice,Beetle Juice,1988.0,92,Comedy,Fantasy,Tim Burton
tt0096895,Batman,Batman,Batman,1989.0,126,Action,Adventure,Tim Burton
tt0081499,The Young Master,The Young Master,Shi di chu ma,1980.0,105,Action,Adventure,Jackie Chan
tt0084266,Dragon Lord,Dragon Lord,Lung siu yeh,1982.0,102,Action,Comedy,Jackie Chan
tt0084266,Dragon Strike,Dragon Lord,Lung siu yeh,1982.0,102,Action,Comedy,Jackie Chan
tt0092501,Project A 2,Project A 2,'A' gai wak 2,1987.0,106,Action,Comedy,Jackie Chan
tt0092501,Jackie Chan's Project A2,Project A 2,'A' gai wak 2,1987.0,106,Action,Comedy,Jackie Chan
tt0095403,Police Story 2,Police Story 2,Ging chaat goo si juk jaap,1988.0,101,Action,Comedy,Jackie Chan
tt0098019,Miracles: The Canton Godfather,Miracles: The Canton Godfather,Kei zik,1989.0,139,Action,Comedy,Jackie Chan
tt0084445,One from the Heart,One from the Heart,One from the Heart,1981.0,107,Drama,Musical,Francis Ford Coppola
tt0086066,The Outsiders,The Outsiders,The Outsiders,1983.0,91,Crime,Drama,Francis Ford Coppola
tt0086066,The Outsiders: The Complete Novel,The Outsiders,The Outsiders,1983.0,91,Crime,Drama,Francis Ford Coppola
tt0086216,Rumble Fish,Rumble Fish,Rumble Fish,1983.0,94,Crime,Drama,Francis Ford Coppola
tt0087089,The Cotton Club Encore,The Cotton Club,The Cotton Club,1984.0,127,Crime,Drama,Francis Ford Coppola
tt0087089,The Cotton Club,The Cotton Club,The Cotton Club,1984.0,127,Crime,Drama,Francis Ford Coppola
tt0087089,Tough Customers,The Cotton Club,The Cotton Club,1984.0,127,Crime,Drama,Francis Ford Coppola
tt0091738,Peggy Sue Got Married,Peggy Sue Got Married,Peggy Sue Got Married,1986.0,103,Comedy,Drama,Francis Ford Coppola
tt0093073,Gardens of Stone,Gardens of Stone,Gardens of Stone,1987.0,111,Drama,Romance,Francis Ford Coppola
tt0096316,Tucker: The Man and His Dream,Tucker: The Man and His Dream,Tucker: The Man and His Dream,1988.0,110,Biography,Comedy,Francis Ford Coppola
tt0082677,Looker,Looker,Looker,1981.0,93,Drama,Sci-Fi,Michael Crichton
tt0088024,Runaway,Runaway,Runaway,1984.0,99,Action,Crime,Michael Crichton
tt0098093,Physical Evidence,Physical Evidence,Physical Evidence,1989.0,99,Crime,Mystery,Michael Crichton
tt0081455,Scanners,Scanners,Scanners,1981.0,103,Horror,Sci-Fi,David Cronenberg
tt0085407,The Dead Zone,The Dead Zone,The Dead Zone,1983.0,103,Drama,Horror,David Cronenberg
tt0085407,Stephen King's The Dead Zone,The Dead Zone,The Dead Zone,1983.0,103,Drama,Horror,David Cronenberg
tt0086541,Videodrome,Videodrome,Videodrome,1983.0,87,Horror,Sci-Fi,David Cronenberg
tt0091064,The Fly,The Fly,The Fly,1986.0,96,Drama,Horror,David Cronenberg
tt0094964,Dead Ringers,Dead Ringers,Dead Ringers,1988.0,116,Drama,Horror,David Cronenberg
tt0080661,Dressed to Kill,Dressed to Kill,Dressed to Kill,1980.0,104,Crime,Drama,Brian De Palma
tt0082085,Personal Effects,Blow Out,Blow Out,1981.0,108,Crime,Drama,Brian De Palma
tt0082085,Blow Out,Blow Out,Blow Out,1981.0,108,Crime,Drama,Brian De Palma
tt0086250,Scarface,Scarface,Scarface,1983.0,170,Crime,Drama,Brian De Palma
tt0086984,Body Double,Body Double,Body Double,1984.0,114,Crime,Drama,Brian De Palma
tt0092226,Wise Guys,Wise Guys,Wise Guys,1986.0,100,Comedy,Crime,Brian De Palma
tt0094226,The Untouchables,The Untouchables,The Untouchables,1987.0,119,Crime,Drama,Brian De Palma
tt0097027,Casualties of War,Casualties of War,Casualties of War,1989.0,113,Action,Crime,Brian De Palma
tt0094142,Throw Momma from the Train,Throw Momma from the Train,Throw Momma from the Train,1987.0,88,Comedy,Crime,Danny DeVito
tt0098621,The War of the Roses,The War of the Roses,The War of the Roses,1989.0,116,Comedy,Romance,Danny DeVito
tt0085168,Angelo My Love,Angelo My Love,Angelo My Love,1983.0,115,Drama,,Robert Duvall
tt0089378,Making Contact,Making Contact,Joey,1985.0,98,Action,Adventure,Roland Emmerich
tt0093201,Ghost Chase,Ghost Chase,Hollywood Monster,1987.0,85,Adventure,Comedy,Roland Emmerich
tt0094597,Dial the Devil,976-EVIL,976-EVIL,1988.0,92,Comedy,Horror,Robert Englund
tt0094597,Horrorscope,976-EVIL,976-EVIL,1988.0,92,Comedy,Horror,Robert Englund
tt0094597,976-EVIL,976-EVIL,976-EVIL,1988.0,92,Comedy,Horror,Robert Englund
tt0092225,Wisdom,Wisdom,Wisdom,1986.0,109,Crime,Drama,Emilio Estevez
tt0081633,Time Bandits,Time Bandits,Time Bandits,1981.0,116,Adventure,Comedy,Terry Gilliam
tt0088846,Brazil,Brazil,Brazil,1985.0,132,Drama,Sci-Fi,Terry Gilliam
