tconst,title,primaryTitle,originalTitle,startYear,runtimeMinutes,genre1,genre2,genre3
tt0081182,Death Watch,Death Watch,La mort en direct,1980.0,130,Drama,Sci-Fi,Thriller
tt0081421,The Return,The Return,The Return,1980.0,91,Mystery,Sci-Fi,Thriller
tt0081421,Earthright,The Return,The Return,1980.0,91,Mystery,Sci-Fi,Thriller
tt0081421,The Alien's Return,The Return,The Return,1980.0,91,Mystery,Sci-Fi,Thriller
tt0081455,Scanners,Scanners,Scanners,1981.0,103,Horror,Sci-Fi,Thriller
tt0081457,Scared to Death,Scared to Death,Scared to Death,1980.0,96,Horror,Sci-Fi,
tt0081457,Scared to Death: Syngenor,Scared to Death,Scared to Death,1980.0,96,Horror,Sci-Fi,
tt0081518,Simon,Simon,Simon,1980.0,97,Comedy,Sci-Fi,
tt0081674,UFOria,UFOria,UFOria,1984.0,93,Comedy,Sci-Fi,
tt0081674,Escape,UFOria,UFOria,1984.0,93,Comedy,Sci-Fi,
tt0081764,Alien Encounters,Without Warning,Without Warning,1980.0,89,Horror,Sci-Fi,Thriller
tt0081764,Without Warning,Without Warning,Without Warning,1980.0,89,Horror,Sci-Fi,Thriller
tt0081989,The Agency,Agency,Agency,1980.0,94,Drama,Sci-Fi,Thriller
tt0082000,Alien Contamination,Contamination,Contamination,1980.0,95,Horror,Sci-Fi,
tt0082000,Toxic Spawn,Contamination,Contamination,1980.0,95,Horror,Sci-Fi,
tt0082000,Contamination,Contamination,Contamination,1980.0,95,Horror,Sci-Fi,
tt0082094,The Boogens,The Boogens,The Boogens,1981.0,95,Horror,Sci-Fi,Thriller
tt0082272,Borowczyk's Bloodbath of Doctor Jekyll,The Strange Case of Dr. Jekyll and Miss Osbourne,Docteur Jekyll et les femmes,1981.0,91,Horror,Sci-Fi,
tt0082272,The Strange Case of Dr. Jekyll and Miss Osbourne,The Strange Case of Dr. Jekyll and Miss Osbourne,Docteur Jekyll et les femmes,1981.0,91,Horror,Sci-Fi,
tt0082272,Dr. Jekyll and His Women,The Strange Case of Dr. Jekyll and Miss Osbourne,Docteur Jekyll et les femmes,1981.0,91,Horror,Sci-Fi,
tt0082410,Frankenstein Island,Frankenstein Island,Frankenstein Island,1981.0,97,Horror,Sci-Fi,
tt0082507,Heartbeeps,Heartbeeps,Heartbeeps,1981.0,78,Comedy,Sci-Fi,
tt0082558,The Incredible Shrinking Woman,The Incredible Shrinking Woman,The Incredible Shrinking Woman,1981.0,88,Comedy,Sci-Fi,
tt0082559,Night of the Zombies,Hell of the Living Dead,Virus,1980.0,99,Horror,Sci-Fi,Thriller
